numer	data losowania	L_1	L_2	L_3	L_4	L_5	L_6
4408	2007-07-04	33	16	4	45	40	47
4407	2007-06-30	2	37	48	5	41	42
4406	2007-06-27	13	24	19	42	2	39
4405	2007-06-23	48	9	24	11	32	2
4404	2007-06-20	1	12	47	19	18	20
4403	2007-06-16	49	40	15	48	36	17
4402	2007-06-13	38	19	14	27	28	1
4401	2007-06-09	37	25	43	9	24	11
4400	2007-06-06	25	33	28	45	4	36
4399	2007-06-02	30	44	21	2	16	10
4398	2007-05-30	24	8	49	6	32	40
4397	2007-05-26	46	37	39	7	13	36
4396	2007-05-23	26	46	23	21	9	37
4395	2007-05-19	28	5	33	7	31	24
4394	2007-05-16	48	30	41	9	45	15
4393	2007-05-12	39	26	9	15	13	34
4392	2007-05-09	24	4	45	46	13	28
4391	2007-05-05	38	48	43	19	7	17
4390	2007-05-02	27	30	26	15	5	14
4389	2007-04-28	32	27	29	11	42	9
4388	2007-04-25	41	12	38	13	1	14
4387	2007-04-21	7	8	39	22	26	35
4386	2007-04-18	7	46	22	15	38	43
4385	2007-04-14	38	22	18	10	14	8
4384	2007-04-11	5	27	2	49	22	40
4383	2007-04-07	2	44	22	42	18	9
4382	2007-04-04	1	10	30	24	39	29
4381	2007-03-31	13	31	10	49	32	12
4380	2007-03-28	25	34	33	43	15	19
4379	2007-03-24	42	31	26	7	28	43
4378	2007-03-21	48	25	17	4	47	27
4377	2007-03-17	4	17	5	44	21	3
4376	2007-03-14	12	29	30	42	23	4
4375	2007-03-10	9	33	47	15	10	41
4374	2007-03-07	25	27	34	4	43	32
4373	2007-03-03	12	31	36	15	7	43
4372	2007-02-28	4	45	27	11	19	43
4371	2007-02-24	22	3	1	34	27	20
4370	2007-02-21	34	40	47	32	1	9
4369	2007-02-17	36	17	43	41	1	47
4368	2007-02-14	25	32	3	2	21	40
4367	2007-02-10	9	2	13	28	48	36
4366	2007-02-07	48	3	38	10	47	24
4365	2007-02-03	6	45	36	15	39	16
4364	2007-01-31	21	44	33	25	24	34
4363	2007-01-27	10	19	31	34	6	33
4362	2007-01-24	29	48	13	22	37	14
4361	2007-01-20	8	48	44	49	39	4
4360	2007-01-17	29	12	16	28	1	37
4359	2007-01-13	21	44	1	26	5	4
4358	2007-01-10	18	39	2	7	26	21
4357	2007-01-06	1	42	47	22	28	49
4356	2007-01-03	31	46	49	45	38	18
4355	2006-12-30	43	39	42	27	16	19
4354	2006-12-27	10	45	34	25	6	26
4353	2006-12-23	49	7	47	4	8	1
4352	2006-12-20	15	21	32	8	20	40
4351	2006-12-16	47	31	28	16	36	6
4350	2006-12-13	9	4	27	12	20	48
4349	2006-12-09	19	34	15	36	26	29
4348	2006-12-06	26	1	21	14	43	23
4347	2006-12-02	48	42	5	45	49	43
4346	2006-11-29	42	35	23	6	2	14
4345	2006-11-25	13	17	48	12	18	31
4344	2006-11-22	36	5	11	34	8	4
4343	2006-11-18	23	49	15	12	22	33
